network,station,channel,latitude,longitude,elevation
NC,PCC,EHZ,36.089767,-121.163612,372.0
NC,PCM,EHZ,35.8055,-120.40963,671.0
NC,PDR,EHZ,36.3363,-120.370033,428.0
NN,PEA,EHZ,39.607498,-119.961304,2142.0
BK,PETB,EP1,38.1189,-122.501099,-143.0
BG,PFR,DPZ,38.752724,-122.74453,1020.0
NC,PHA,EHZ,35.836178,-120.398613,398.0
NC,PHC,EHZ,35.682163,-121.153725,502.0
CI,PHL,HHZ,35.40773,-120.54556,355.0
NC,PHOB,EHZ,35.866611,-120.479607,796.0
NC,PHSB,EHZ,35.824039,-121.053932,475.0
NC,PJC,EHZ,36.095879,-120.37162,403.0
NC,PJU,EHZ,36.226974,-120.593521,925.0
BK,PKD,HHZ,35.945171,-120.541603,583.0
NC,PKE,EHZ,36.061031,-120.109634,244.0
NC,PKL,EHZ,35.77298,-120.339943,422.0
NP,PLA,HHZ,37.798672,-121.46315,-18.0
NC,PMC,EHZ,35.725224,-120.370621,471.0
NC,PMM,EHZ,35.956329,-120.498489,751.0
NC,PMPB,HHZ,36.215904,-120.801262,802.0
NN,PNT,HHZ,39.0891,-119.5997,2076.0
NC,PPB,EHZ,35.260967,-120.8862,63.0
NC,PPG,EHZ,35.862637,-119.956451,177.0
NC,PPO,EHZ,35.866665,-120.615959,446.0
NC,PSA,EHZ,36.024658,-120.889236,150.0
BG,PSB,DP1,38.750591,-122.691147,697.0
NC,PSC,EHZ,35.588333,-120.426331,326.0
NC,PSM,EHZ,36.068806,-120.596184,957.0
NC,PSN,EHZ,35.787762,-120.295067,390.0
NC,PSR,EHZ,35.856228,-120.280357,480.0
NC,PTA,EHZ,35.392475,-120.707794,802.0
NC,PVC,EHZ,35.922073,-120.534988,770.0
NC,PWK,EHZ,35.814495,-120.511948,470.0
NC,PWM,EHZ,36.432682,-120.212364,45.0
BK,RAMR,HHZ,35.635971,-120.869843,414.3
BK,RB2B,DP1,37.93335,-122.403137,-151.5
NN,RCC,EHZ,37.4869,-118.722801,2817.0
BK,RFSB,HNZ,37.91608,-122.336067,-26.7
BG,RTB,DP1,38.7789,-122.687798,276.0
NN,RUB,HHZ,39.051701,-120.1549,2045.2
NC,RWSVT,HNZ,37.941719,-122.262207,97.0
BK,SAO,HHZ,36.76403,-121.44722,317.2
WR,SAQ,EHZ,37.045837,-120.949638,73.0
BG,SB4,DPZ,38.808868,-122.829178,327.0
BK,SBRN,EP1,37.685612,-122.41127,-157.5
NN,SBT,EHZ,39.6267,-120.6669,2152.0
BK,SCCB,HNZ,37.287441,-121.86422,98.4
WR,SCK,EHZ,37.183208,-121.071159,72.0
BP,SCYB,DP1,36.009418,-120.536613,695.0
BK,SCZ,HHZ,36.598,-121.403,261.0
WR,SFJ,EHZ,37.049332,-121.172501,427.0
PG,SH,EHZ,35.168171,-120.76133,195.0
PG,SHD,EHZ,35.168171,-120.76133,195.0
NP,SIA,HHZ,38.050282,-121.736687,-1.0
WR,SLD,EHZ,37.074699,-121.221222,136.0
BK,SM2B,DP1,37.838745,-122.110222,49.1
NN,SMI,EHZ,39.867199,-120.530602,2344.0
BP,SMNB,DP1,35.972969,-120.57988,416.0
CI,SMR,HHZ,35.37699,-120.61247,341.0
WR,SPR,EHZ,37.081154,-121.061836,115.0
BG,SQK,DPZ,38.823395,-122.810074,639.0
BG,SRB,DP1,38.740726,-122.711555,912.0
BG,STY,DPZ,38.813259,-122.780685,1112.0
BK,SUTB,HHZ,39.229099,-121.786102,249.5
BK,SVIN,EP1,38.03318,-122.526321,-179.9
BK,TCAS,DP1,35.609501,-120.560097,381.0
BG,TCH,DPZ,38.783237,-122.736725,951.0
BK,TCHL,HHZ,35.688122,-120.400917,431.0
BK,THIS,HHZ,35.724049,-120.228447,643.0
BK,TRAM,HHZ,35.67691,-120.270927,642.0
BK,TSCN,HHZ,35.54398,-120.348061,476.5
BK,VAK,HHZ,37.877525,-122.248894,256.0
BK,VALB,EP1,38.121498,-122.275299,-180.3
BP,VARB,DP1,35.926079,-120.447052,-97.0
BP,VCAB,DP1,35.921619,-120.53392,555.0
CI,VOG,HHZ,36.32098,-119.38226,90.0
PG,VPD,EHZ,35.239899,-120.869003,435.0
NN,VPK,EHZ,39.4722,-120.0398,2562.0
NN,WAK,HHZ,38.5043,-119.4382,1890.0
BK,WENL,HHZ,37.622108,-121.756973,138.9
PG,WRD,EHZ,35.458832,-120.881668,238.0
CI,YEG,EHZ,35.43658,-119.96009,907.0
