event_id, station, network, location, channel, sp_ratio, takeoff, takeoff_uncertainty, azimuth, azimuth_uncertainty
123456,   ST063,   XX,      --,       EHZ,     15.2,     17.1,   0.0,                 -38.5,   0.0
123456,   ST064,   XX,      --,       EHZ,     21.4,     14.5,   0.0,                 -23.2,   0.0
123456,   ST065,   XX,      --,       EHZ,     125.1,     13.4,   0.0,                  -3.5,   0.0
123456,   ST066,   XX,      --,       EHZ,      2.3,     82.9,   0.0,                 122.3,   0.0
123456,   ST067,   XX,      --,       EHZ,      1.8,     77.3,   0.0,                 124.5,   0.0
123456,   ST068,   XX,      --,       EHZ,      1.4,     72.0,   0.0,                 127.0,   0.0
123456,   ST069,   XX,      --,       EHZ,      1.1,     67.1,   0.0,                 129.8,   0.0
123456,   ST070,   XX,      --,       EHZ,     159.5,     41.4,   0.0,                 178.9,   0.0
123456,   ST071,   XX,      --,       EHZ,     13.1,     48.4,   0.0,                  73.5,   0.0
123456,   ST072,   XX,      --,       EHZ,     12.9,     43.3,   0.0,                  71.6,   0.0
123456,   ST073,   XX,      --,       EHZ,     12.8,     38.4,   0.0,                  69.2,   0.0
123456,   ST074,   XX,      --,       EHZ,     12.7,     33.6,   0.0,                  66.2,   0.0
123456,   ST075,   XX,      --,       EHZ,     12.7,     29.0,   0.0,                  62.2,   0.0
123456,   ST076,   XX,      --,       EHZ,     13.0,     24.7,   0.0,                  56.9,   0.0
123456,   ST077,   XX,      --,       EHZ,     13.6,     20.6,   0.0,                  49.3,   0.0
123456,   ST078,   XX,      --,       EHZ,     15.2,     17.1,   0.0,                  38.5,   0.0
123456,   ST079,   XX,      --,       EHZ,     21.4,     14.5,   0.0,                  23.2,   0.0
123456,   ST080,   XX,      --,       EHZ,     125.1,     13.4,   0.0,                   3.5,   0.0
123456,   ST081,   XX,      --,       EHZ,      1.1,     61.7,   0.0,                 133.6,   0.0
123456,   ST082,   XX,      --,       EHZ,      1.1,     65.7,   0.0,                 137.9,   0.0
123456,   ST083,   XX,      --,       EHZ,      1.6,     68.5,   0.0,                 142.7,   0.0
123456,   ST084,   XX,      --,       EHZ,      2.5,     69.6,   0.0,                 147.6,   0.0
123456,   ST085,   XX,      --,       EHZ,      3.6,     69.3,   0.0,                 152.6,   0.0
123456,   ST086,   XX,      --,       EHZ,      5.2,     67.3,   0.0,                 157.5,   0.0
123456,   ST087,   XX,      --,       EHZ,      7.2,     64.1,   0.0,                 162.1,   0.0
123456,   ST088,   XX,      --,       EHZ,     10.1,     59.6,   0.0,                 166.2,   0.0
123456,   ST089,   XX,      --,       EHZ,     14.0,     54.1,   0.0,                 169.4,   0.0
123456,   ST090,   XX,      --,       EHZ,     18.5,     48.1,   0.0,                 171.4,   0.0
123456,   ST091,   XX,      --,       EHZ,     20.2,     41.9,   0.0,                 171.5,   0.0
123456,   ST092,   XX,      --,       EHZ,     16.5,     36.2,   0.0,                 168.7,   0.0
123456,   ST093,   XX,      --,       EHZ,     11.4,     31.7,   0.0,                 162.2,   0.0
123456,   ST094,   XX,      --,       EHZ,      7.6,     29.4,   0.0,                 152.2,   0.0
123456,   ST095,   XX,      --,       EHZ,      5.4,     30.1,   0.0,                 141.1,   0.0
123456,   ST096,   XX,      --,       EHZ,      4.2,     33.5,   0.0,                 132.5,   0.0
123456,   ST097,   XX,      --,       EHZ,      3.5,     38.6,   0.0,                 127.7,   0.0
123456,   ST098,   XX,      --,       EHZ,      2.9,     44.6,   0.0,                 126.3,   0.0
123456,   ST099,   XX,      --,       EHZ,      2.3,     50.8,   0.0,                 127.3,   0.0
123456,   ST100,   XX,      --,       EHZ,      1.6,     56.6,   0.0,                 129.9,   0.0
123456,   ST101,   XX,      --,       EHZ,      3.9,     48.7,   0.0,                 149.0,   0.0
